# +1 per timestamp, +0 when hitting the obstacle
0.05,535,758,409,1216,645,505,435,689,341,1094,824,971,1329,829,998,548,74,1163,567,533,876,658,636,957,1155,345,487,1454,900,928,1058,1433,411,1126,739,335,1232,329,479,544,1254,80,498,482,710,1211,443,362,134,1,492,750,548,489,383,407,402,915,641,1649,1074,325,836,775,711,841,815,356,386,903,1241,576,1929,398,1525,888,1114,1399,508,452,674,811,598,535,195,1088,970,609,1224,571,861,738,228,293,855,757,684,260,1356,1193
0.1,1049,372,1008,341,227,349,490,672,486,510,199,460,612,734,448,658,331,431,508,476,522,693,812,129,305,354,324,901,256,142,24,544,291,313,1118,286,321,290,65,270,363,388,733,422,501,1972,889,23,276,375,369,274,316,1089,417,523,89,331,385,897,673,402,812,699,437,646,66,638,524,602,20,403,285,544,318,565,393,468,456,445,855,479,220,265,625,1181,367,587,132,442,1085,644,637,396,509,448,564,326,389,386
0.15,67,332,566,311,655,141,453,170,474,210,530,574,434,191,417,257,668,342,288,502,138,450,302,110,586,78,552,439,349,151,118,128,374,567,306,543,1342,976,443,394,311,94,136,775,387,56,43,202,495,430,426,364,886,94,546,200,201,463,345,1241,61,61,396,954,304,188,285,282,102,27,52,93,269,725,871,760,396,446,278,316,127,486,997,257,202,281,369,401,310,467,230,20,537,329,217,12,507,914,485,491
0.2,99,688,135,569,157,61,70,191,192,610,234,725,523,388,423,48,524,86,112,80,631,803,176,859,261,469,150,50,16,1064,392,678,591,419,161,81,192,555,408,453,464,113,357,111,669,371,413,360,1062,638,447,102,59,167,304,511,88,378,28,445,424,492,4,22,549,189,171,328,453,382,99,982,546,967,1072,625,491,387,71,585,315,47,703,483,539,449,523,259,22,58,226,333,18,531,1041,302,149,20,41,392
0.25,184,290,167,95,93,543,357,81,72,341,364,248,134,383,428,264,1034,441,246,220,99,575,27,32,259,286,257,158,255,597,219,344,299,307,238,649,206,139,175,131,48,33,81,526,198,327,251,16,319,21,583,181,286,134,263,419,91,782,249,207,1,412,484,465,573,612,434,186,296,340,321,169,477,240,355,258,279,343,39,760,65,237,649,28,68,360,1526,24,290,15,451,4,447,246,287,1030,707,217,389,578
0.3,475,56,128,82,56,391,428,235,505,104,375,467,76,324,395,148,282,586,262,294,221,248,384,169,276,41,251,146,100,760,77,613,310,451,477,432,246,200,15,510,231,387,751,1142,236,465,274,57,196,45,496,154,190,378,306,122,184,71,469,882,1,350,143,23,346,200,510,89,69,267,221,623,20,146,89,389,322,194,253,410,301,594,816,185,526,506,58,81,310,133,69,4,207,364,92,313,397,488,810,397
0.35,1010,621,137,437,134,13,537,178,27,34,184,41,25,149,215,38,739,712,568,246,163,147,353,116,301,507,281,148,200,47,899,361,958,108,168,605,175,540,297,140,23,391,585,234,42,228,275,223,230,29,209,224,563,528,524,248,362,405,637,238,1,320,186,463,707,580,539,169,234,72,117,25,225,474,216,14,334,85,431,392,209,153,177,125,916,234,247,5,661,350,530,597,295,224,153,126,68,237,54,114
0.40,432,38,802,303,21,64,99,384,461,417,222,455,68,431,493,63,7,393,30,407,17,387,257,249,239,310,628,301,349,641,42,37,607,477,132,322,171,136,261,93,379,173,206,23,104,302,265,50,204,25,597,692,369,46,141,32,243,429,217,151,1,398,70,33,103,233,267,492,643,48,325,510,917,33,478,123,111,46,915,404,128,636,200,562,54,32,522,286,258,75,648,329,11,240,171,210,10,798,205,249
0.45,395,520,505,764,665,634,657,31,274,97,478,95,615,164,64,43,160,285,76,861,200,364,251,634,44,8,381,23,39,428,14,298,96,397,152,25,666,124,698,323,435,48,286,26,398,192,449,344,864,148,49,442,780,179,104,152,417,191,457,56,224,507,212,360,41,349,257,10,244,27,362,30,375,335,240,29,203,173,800,159,87,172,150,23,165,74,143,119,260,555,269,179,22,31,333,620,329,405,55,574
0.50,196,25,188,105,423,516,87,326,146,132,295,17,299,52,148,73,227,982,406,73,460,168,89,455,27,161,431,344,316,257,117,112,223,226,2,650,253,328,234,673,116,136,32,47,306,33,186,150,32,505,221,514,293,111,541,465,22,261,301,306,38,428,148,82,51,1150,116,215,213,232,515,61,389,218,401,18,294,111,115,588,451,76,498,63,224,170,42,473,452,331,414,41,133,125,93,186,96,84,265,506
